key,visitors,pageviews
(others),2351,6210
US,1805,4805
GB,381,1128
CA,359,963
DE,279,810
BR,239,659
NL,231,622
AU,221,515
IN,163,433
ID,142,315
RO,102,255
FR,101,277
ES,100,247
